"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0853738"|"HUAXIA CHINESE SCHOOL AT BRIDGEWATER"|"725902"|""|"266014.0000"|""|"262315.0000"|"The school provides Chinese language instruction service to students who want to learn Chinese language"|""|""|""|""|""|""|""|""|""|""
"01-0872726"|"International Spanish Language Academy"|"725903"|""|"1205369.0000"|""|"1448365.0000"|"Provide an edcuation, in the English and Spanish languages, and other educational services to students in grades K-6. During the fiscal year ended June 30, 2011, the Academy served an estimated 208 students."|""|""|""|""|""|""|""|""|""|""
"01-0916759"|"KIPP ST. LOUIS"|"725904"|""|"2147894.0000"|""|"8440.0000"|"Our largest program service accomplishment is to offer a school where we can inspire all students to develop the character and academic skills necessary to succeed in high school and college so that they can build a better tomorrow for themselves and us all."|""|""|""|""|""|""|""|""|""|""
"02-0239801"|"CONCORD-MERRIMACK COUNTY SPCA"|"725910"|""|"383405.0000"|""|"69043.0000"|"Organization provides shelter and protection for abused, abandoned and neglected animals and promotes education of the public about the humane treatment of animals"|""|""|""|""|""|""|""|""|""|""
"01-0351795"|"RELGRADE REGIONAL HEALTH CENTER, INC."|"719106"|""|"29211.0000"|""|""|"Organization's exempt purpose is to provide a community health facility for the Belgrade lakes region. During this fiscal year the organization continued leasing to healthreach network, a health care provider, a newly constructed building which opened in January 2006. The organization further upgraded its building by investing in a 4 5000 watt generator system which was completed in January 2009."|""|""|""|""|""|""|""|""|""|""
"01-0469196"|"University of Maine at Fort Kent Foundation"|"719108"|""|"40521.0000"|""|""|"Scholarships provided to University students and grants provided to the University of Maine at Fort Kent"|""|"4718.0000"|""|""|"Expenses incurred in acheiving service goals"|""|""|""|""|""
"01-0860991"|"PLAINSBORO FREE PUBLIC LIBRARY FOUNDATION,INC"|"719110"|""|"14369.0000"|""|"2994.0000"|"The foundation was established to raise funds for the construction and sustainability of a state-of-the-art Free Public Library in the township of Plainsboro."|""|""|""|""|""|""|""|""|""|""
"01-0457589"|"MAINE RESOURCE RECOVERY ASSOCIATION"|"720228"|""|"148572.0000"|""|"133262.0000"|"Provide a cost efficient means for municipalities, quasi-municipal organizations, non-profits, and individuals to dispose of recyclable and reusable materials. Provide education with regard to waste and recycling management."|""|""|""|""|""|""|""|""|""|""
"01-0709661"|"UNIVERSAL SCHOOL"|"720230"|""|"574758.0000"|"0.0000"|"396865.0000"|"Education of children pre-k through eighth grade"|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0371234"|"ELLWORTH AREA CHAMBER OF COMMERCE"|"725871"|""|""|""|""|"The organization's program service activities promote and foster trade and commerce in the city of Ellsworth, Maine. We stimulate civic and municipal interest in matters relating to trade and commerce. We also encourage and assist in the location or relocation of industry and other business enterprises in the commmunities served by the city of Ellsworth. We serve approximately 25,000 businesses and clients."|""|""|""|""|""|""|""|""|""|""
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"725872"|""|"550756.0000"|""|"216246.0000"|"A learning center for children up to kindergarten age, serving primarily low income and teen parents who are in school, in job training, or employed"|""|""|""|""|""|""|""|""|""|""
"01-0384833"|"Big Brothers Big Sisters of Midcoast Mai"|"725873"|""|"181937.0000"|""|""|"The program of Big Brothers/Big Sisters of Midcoast Maine consists of creating one-to-one friendships between screened adult volunteers and at risk youngsters and in monitoring those matches We serve other youngsters in site based mentoring programs in 15 different communities"|""|""|""|""|""|""|""|""|""|""
"01-0391208"|"LA ARTS"|"725875"|""|"250090.0000"|""|""|"Arts in education - 200 programs available to over 10,000 students after school arts program (LEAP) - 630 programs available to 250 students multiple teacher workshops with 25 attendees each"|""|"4386.0000"|""|""|"Community arts programs - music in the parks with 6 to 8 events with 1400 attendees miscellaneous programs throughout the year with 1000 attendees total"|""|"93747.0000"|""|""|"Visual arts - 5 venues displaying artwork available for sale to the general public over 200 artists represented along with multiple student exhibits"
"01-0406624"|"HOLOCAUST HUMAN RIGHTS CENTER OF MAINE"|"725876"|""|"218579.0000"|""|"5127.0000"|"The various programs undertaken by the organization serve to educate the general public about the holocaust and Human Rights issues"|""|""|""|""|""|""|""|""|""|""
"01-0411761"|"AREA IV MENTAL HEALTH SERVICES COALITION"|"725877"|""|"930492.0000"|""|"1086959.0000"|"Community support - our community integration team works with adults living with mental illness to develop an individual plan to access resources, improve skills and manage symptoms of the illness. We also help develop daily living and housing support, as well as employment, education, psychiatric, and counseling services to meet their needs and achieve their individual goals."|""|"99185.0000"|""|"125902.0000"|"Medication management - services are available to eligible individuals in combination with our community integration services, or as a stand alone service. Medication management provides assessment, diagnosis and treatment of psychiatric and CO-occurring illnesses."|""|"123038.0000"|""|"143978.0000"|"Wellness and recovery center (club) - welcomes approximately 300 members per year. Isolation is a most painful side effect of mental illness. Open everyday, the 100 pine street wellness and recovery center (WRC) envisions a future in which its members are able to pursue optimal health, happiness, recovery, and a full and satisfying life. The WRC is a community providing a connection with others with shared experiences."
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"725878"|""|"207711.0000"|""|"12645.0000"|"EQUIPMENT PROGRAM The Maine Center on Deafness continues to administer the State of Maine's adaptive equipment program, known as the 'Telecommunications Equipment Program. "" Following the Americans with Disabilities Act in 1990, states became increasingly concerned with providing access to telephone lines as a public accommodation. Along with most states in the US, Maine developed an equipment program that distributes adaptive equipment to its low-income residents at no or low cost."|""|"160688.0000"|""|"8000.0000"|"CIVIL RIGHTS PROGRAM During the 7/1/2010 to 6/30/2011 fiscal year, our two attorneys (one full-time, one part-time) and one civil rights advocate/interpreter fielded hundreds upon hundreds of phone calls, TTY calls, calls made via the Telecommunications Relay System (between D/HH/LD persons and hearing persons through a relay communication assistant or sign language interpreter),-mails and walk-in client visits."|""|"98603.0000"|""|""|"HAMILTON RELAY SERVICES Many of the clients served through MCD's Equipment Program use equipment that depends on access to Maine's Telecommunications Relay Service (MERS). The relay service utilizes the skills of Communication Assistants' (CA) who facilitate phone calls between people using two different types of phone equipment. An example would be a Deaf person using a TTY or videophone making a phone call to order a pizza"
"01-0420232"|"MAINE COALITION AGAINST SEXUAL ASSAULT"|"725879"|""|"273939.0000"|""|""|"Provide technical assistance, information, training and public awareness on sexual violence."|""|"141927.0000"|""|"140916.0000"|"Enhancement of state-wide Sexual Assault crisis and support hotline to provide expanded training and response with regard to mental health issues."|""|"130415.0000"|""|"130415.0000"|"Focused efforts on technical assistance for member agencies, coalition building, system advocacy and capacity expansion."
"01-0439009"|"AUBURN RESIDENTIAL DEVELOPMENT CORP"|"725880"|""|"242387.0000"|""|"119754.0000"|"Rental program - provide subsidized housing to low-income tenants"|""|""|""|""|""|""|""|""|""|""
"01-0449192"|"BUCKSPORT AREA CHILD CARE CENTER"|"725881"|""|"267421.0000"|""|""|"On-site day care is provided for children who reside in bucksport and surrounding communities an after school program is also provided"|""|""|""|""|""|""|""|""|""|""
"01-0482069"|"RIDING TO THE TOP"|"725882"|""|"332314.0000"|""|"125481.0000"|"The organization provides therapeutic lessons to children and adults which provide the majority of the revenue."|""|""|""|""|""|""|""|""|""|""
"01-0490195"|"COMMUNITY HOUSING OF MAINE INC"|"725883"|""|"1197694.0000"|""|"1707213.0000"|"The organization develops and manages low income housing for disadvantaged individuals in the state of Maine"|""|"2712029.0000"|""|"906033.0000"|"The organization owns and manages an affordable housing project in Portland, Maine, known as Northfield green apartments"|""|""|""|""|""
"01-0492876"|"OAKLEAF HOUSING TRUST INC"|"725884"|""|"223728.0000"|""|"111429.0000"|"To provide 26 units of low income housing to elderly residents in Freeport, Maine, as well as supportive services designed to extend the time in which elderly tenants may live independently"|""|""|""|""|""|""|""|""|""|""
"01-0499084"|"MAINE LONG-TERM CARE OMBUDSMAN PROGRA"|"725885"|""|"597432.0000"|"0.0000"|"0.0000"|"The program indirectly serves all Long-Term parients ofthe state of Maine. Additionaly, as ombudsman for the Long-Term Care of patients of Maine. The program is responsible for responding inquires related to Long-Term Care facilities and providers as well as reviewing and provideing information related to legislation which impacts long-trem care."|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0514118"|"HEAR ME NOW INC"|"725886"|""|"246636.0000"|""|"104404.0000"|"Hear Me Now' is an oral deaf learning center offering a variety of programs and services to promote spoken language and listening skills in children who are deaf or hard-of-hearing our staff of speech language pathologists, auditory verbal therapists, audiologists, and teachers of the deaf work with families to develop a comprehensive plan for each child"|""|""|""|""|""|""|""|""|""|""
