"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0224627"|"BOOTHBAY HARBOR MEMORIAL LIBRARY ASSOCIATION"|"896592"|"Operation of a free public library"|"N"|"N"|""|""|""|"218278.0000"|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"896594"|"To inspire and enable all young people and their families, to realize their full potential as productive, responsible, and caring citizens"|"N"|"N"|""|"269758.0000"|"136062.0000"|"1214208.0000"|""
"01-0361328"|"MAINE MOTOR ARANSPORT ASSCIATION"|"896595"|"To promote the motor transportation industry in the state of Maine and elsewhere, and to promote the welfare of its members."|"N"|"N"|""|""|""|""|"Y"
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"896596"|"To provide low income elderly housing."|"N"|"N"|""|""|""|"317335.0000"|""
"01-0545125"|"Trustees of Monmouth Academy"|"896597"|"To provide awards and scholarships to students."|"N"|"N"|""|""|""|"34110.0000"|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"896598"|"To end homelessness"|"N"|"N"|""|"3167691.0000"|"187074.0000"|"9663627.0000"|"Y"
"01-0262323"|"Northern Maine General"|"897455"|"It is Northern Maine General's mission to provide individuals with the highest standards of care, promote dignity and respect, encourage talents and individuality, and help all of the people we serve enjoy life to the fullest potential"|"N"|"N"|""|"2742474.0000"|"3572637.0000"|"9637853.0000"|"Y"
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"897525"|"Promoting the growth of credit unions through service excellence in the delivery of quality products and services (providing ADVERTISING, LEGISLATIVE, ADMINistrative, TECHNICAL, and FINANCIAL HELP TO MEMBER Credit unions)."|"N"|"N"|""|""|""|"1663749.0000"|""
"01-0369125"|"Maine Forest Products Council"|"897526"|"MFPC's mission is to promote the general welfare of the Maine forest products industry thereof, to promote the conservation and renewal of the forest resources, improve forest utilization and practices, to promote Maine forest products, to collect and disseminate statistics and information relative to the use, sale and manufacture of forest products as reviewed and approved by counsel, to collect, analyze and disseminate information of a general economic, civic and governmental character"|"N"|"N"|""|""|""|""|"Y"
"01-0484605"|"ALBION ASSOCIATES"|"897527"|"The organization provides elderly housing services to qualified residents in 16 apartment units"|"N"|"N"|""|""|""|"197775.0000"|""
"01-0492125"|"ALLIANCE OF INDEP ACADEMIC MEDICAL CTRS"|"897528"|"The organizaton isa national network of large Academic Medical centers and health systems committed to quality patient care, medical education and re search"|"N"|"N"|""|""|""|"415530.0000"|""
"01-0503126"|"Maine Philanthropy Center"|"897529"|"The Maine Philanthropy Center (MPC) is the state's leading resource to help grantmakers connect, collaborate and learn MPC provides leadership and support to help them maximize their impact in the philanthropic marketplace (Continued on Schedule 0 )MPC has 87 grantmaker member organizations that collectively give over $72 million, representing 56of all giving by Maine foundations Members include family and private independent foundations, community and other public charity foundations"|"N"|"N"|""|""|""|"306608.0000"|"Y"
"01-0531223"|"JORDAN BAY PLACE CO AVESTA HOUSING"|"897530"|"Provide affordable housing suited to the special needs and requirements of eligible occupants as determined by the u s departmentofhud"|"N"|"N"|""|""|""|"202515.0000"|""
"01-0531224"|"FIVE GRAHAM STREET CO AVESTA HOUSING"|"897531"|"Provide affordable housing suited to the special needs and requirements of eligible occupants as determined by the u s department of HUD"|"N"|"N"|""|""|""|"267694.0000"|""
"01-0617023"|"CENTER OF LIFE"|"897532"|"Center of Life (COL) is a faith-based community empowerment organization that serves to strengthen families, children and youth in the greater Hazelwood community and other underserved neighborhoods throughout the Pittsburgh area our mission is to provide families with the life-skills, education, training, and resources necessary to thrive and make their communities strong for ten years Center of Life has provided pro grams and services in music and arts, education"|"N"|"N"|""|"24523.0000"|""|"327953.0000"|"Y"
"01-0638224"|"Council For Educational Chang Inc."|"897533"|"To implement reform within the public school systems in Florida."|"N"|"N"|""|""|""|"2111967.0000"|""
"01-0710522"|"TMT Three Maroon Circle Inc"|"897534"|"Title Holding Corporation For Real Property"|"N"|"N"|""|""|""|""|""
"01-0848225"|"Youth Media Minds of America"|"897535"|"Educational Organization primary purpose is to bring audio video and multimedia communications technology within the reach of at- risk and underserved youth between ages 14-18 including youth who are visually impaired or deaf and hard of hearing"|"N"|"N"|""|""|""|"29602.0000"|""
"01-0969325"|"SUNCOAST SOCCER INC"|"897536"|"Youth soccer league"|"N"|"N"|""|""|""|"97225.0000"|""
"01-0406624"|"Holocaust Human Rights Center of Maine"|"898498"|"To educate the general public a bout the holocaust and Human Rights issues"|"N"|"N"|""|""|""|"208364.0000"|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"902174"|"To provide relief to dentists who are experiencing extreme financial hardship"|"N"|"N"|""|""|""|""|""
"01-0792334"|"GAMA INTERNATIONAL"|"902173"|"Building the leaders who build the financial services industry"|"N"|"N"|""|""|""|""|"Y"
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL INC"|"902172"|"Elementary school-aged innovative teaching and learning methods"|"N"|"N"|""|""|""|"2971181.0000"|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY INC"|"902170"|"The organization's mission is to promote and foster recreational, athletic, and other activities for members and their fa mi lies, to manage, maintain, protect, and pre serve the community and its properties and facilities, and to operate and maintain, or provide for the operation and maintenance of, any common areas or facilities held by the organization forthe benefit ofits members"|"N"|"N"|""|""|""|"1392469.0000"|"Y"
"01-0263507"|"Central Aroostook ARC"|"902169"|"Provide various services for people of all ages who are fundamentally and developmentally disabled."|"N"|"N"|""|"2340475.0000"|"2336746.0000"|"5879121.0000"|"Y"
"01-0211507"|"Good Samaritan Agency"|"902167"|"Good Samaritan Agency purpose is to help individuals who have special needs concerning pregnancy and parenting to gain the services they need to improve the quality of their lives."|"N"|"N"|""|"46342.0000"|""|"539458.0000"|"Y"
"01-0373341"|"KENNEBEC VALLEY EMERGENCY MEDICAL SERVICES"|"900190"|"The Kennebec Valley EMS council is a non-profit corporation created under the laws of the state of Maine to act as an extension of Maine EMS in providing quality improvement, EMS education, and resource development services to the ambulance, rescue, and first responder services as well as hospitals and other health care agencies or organizations in kennebec, somerset, and Western Waldo counties."|"N"|"N"|""|""|""|"376885.0000"|"Y"
"01-0348709"|"OGUNQUIT CHAMBER OF COMMERCE"|"902626"|""|"N"|"N"|""|""|""|""|"Y"
"01-0416936"|"Vinalhaven Land Trust Inc"|"902675"|"The Organization promotes the preservation of natural resources generally on the Island of Vinalhaven and surrounding islands. It accomplishes this mission primarily through placement of conservation easements and outright purchases of conservation land"|"N"|"N"|""|""|""|"86502.0000"|""
"01-0554139"|"Baton Rouge Capital Conflict Office Inc"|"902676"|"Baton Rouge Capital Conflict Office provides quality criminal defense services to indigent persons in Louisiana who are facing the death penalty"|"N"|"N"|""|""|""|"1127798.0000"|""
"01-0566033"|"ISRAEL MEMRGENCY ALLIANCE"|"902677"|"Standwithus is an international, non-profit organization. We believe that education is the road to peace. Standwithus is dedicated to informing the public about Israel and to combating the extremism and anti-semitism that often distorts the issues. We work by supporting people around the world who want to educate their own local campuses and communities about Israel. We believe that knowledge of the facts will correct common prejudices about the arab-israeli conflict"|"N"|"N"|""|""|""|"5335736.0000"|"Y"
"01-0622507"|"AMERICA IN BLOOM"|"902678"|"America in Bloom is an independent, non-profit 501(C)(3) organization dedicated to promoting nationwide beautification programs, and both personal and community involvement through the use of flowers, plants, trees, and other environmental and lifestyle enhancements, and to providing educational programs and resources to that end"|"N"|"N"|""|""|""|"196948.0000"|"Y"
"01-0793507"|"THE LOWCOUNTRY HOUSING TRUST INC"|"902679"|"Leveraging public and private resources to foster community economic development"|"N"|"N"|""|""|""|"1361946.0000"|""
"01-0795543"|"NALLS FOUNDATION"|"902680"|"Residential care and treatment of emotionally and physically neglected child ren"|"N"|"N"|""|""|""|"345044.0000"|""
"01-0920922"|"MIGHTY WRITERS"|"902683"|"Provides free, year-round writing programs for nearly 1,000 Philadelphia students each year programs target elementary thro ugh high school students and include after school tutoring, themed writing workshops, one-on-one mentorships, a teen lounge, sat preparatory courses and college essay writing classes pro grams and projects are all designed to reach city students accross the barriers of neighborhood, school and socioeconomic background"|"N"|"N"|""|""|""|"287960.0000"|"Y"
"01-0932008"|"A A PLUS"|"902684"|"The mission of A Plus youth program is to provide academic preparation, specialized athletic training and civic engagement workshops in an effort to develop the skills necessary for youth to become successful leaders it is the intention of A Plus youth program to embrace all individuals without regard to race, class, socio-economic status or geographic location"|"N"|"N"|""|""|""|"366646.0000"|"Y"
"01-6012835"|"ISLANDS COMMUNITY MEDICAL SERVICES"|"902686"|"To provide medical, dental, and health and community services for the residents of Vinalhaven, Maine and nearby islands."|"N"|"N"|""|""|""|"968244.0000"|""
"01-0145133"|"PROUTS NECK ASSOCIATION"|"902667"|"Community betterment"|"N"|"N"|""|""|""|"198731.0000"|""
"01-0146437"|"COAST LINE CREDIT UNION"|"902668"|"Provide members with savings and affordable loan products"|"N"|"N"|""|""|""|"1595054.0000"|""
"01-0212435"|"St Joseph Hospital"|"902670"|"""St Joseph Healthcare-committed to wellness promotion and holistic healing-provides healthcare services which embody compassion, competence and community "" not just words, but a way of life - a noble statement of what we are, meticulously crafted after thoughtful consideration, study and examination of all the things we do, big and small, day and night, caring for our patients These are the words we live by, each and every one of us who comprise the caring community of St Joseph Healthcare."|"N"|"N"|""|"57729140.0000"|"38178810.0000"|"70889081.0000"|"Y"
"01-0216837"|"The Maine Sea Coast Mission"|"902671"|"The Maine Sea Coast Mission provides spiritual, health, and youth development programs in coastal and island communities from Mid-Coast to Down east Maine Rooted in a history ofnon-denominational service, the Mission offers hope, encouragement, and help to strengthen individuals, families and communities"|"N"|"N"|"117100.0000"|"465355.0000"|"5318.0000"|"2802016.0000"|"Y"
"01-0327007"|"BETHEL HISTORICAL SOCIETY"|"902672"|"To promote and preserve the history of Bethel Maine area."|"N"|"N"|""|""|""|"115554.0000"|""
"02-0240644"|"TILTON-NORTHFIELD RECREATION COUNCIL"|"900273"|"Adult & child recreational & social programs"|"N"|"N"|""|""|""|"224196.0000"|""
"01-6029208"|"American Legion Post 153"|"900272"|"To implement the goals, aspirations, dreams, peace and blessings for our County, Friends, and Families as embodied in our Preamble"|"N"|"N"|""|""|""|"3874.0000"|""
"01-0770241"|"DRUG TREATMENT COURT FOUNDATION OF KALAMAZOO COUNTY"|"900270"|"A substance-abuse recovery system offering the opportunity for people to restore their lives, renew relationships, and re fresh their out look for a healthy, productive future"|"N"|"N"|""|""|""|"247398.0000"|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"900269"|"The foundation's primary exempt purpose is to raise funds through individual donations and through various fund raising events, from whichthe fundsare usedto provideassistanceto children undertheage of18 who are in need of medical treatment or are indigent"|"N"|"N"|"500.0000"|"3734.0000"|""|"50747.0000"|"Y"
"01-0768541"|"FRIENDS OF YOUTH SPORTS"|"900268"|"To raise funds for the continued ope ration of youth base ball teams and support an environment conducive to learning sportsmanship in team sports"|"N"|"N"|""|""|""|"39834.0000"|""
"01-0570609"|"Camp Smile Foundation Inc"|"900265"|"To provide support for Camp Smile Inc which is a not for profit charitable organization that operates a camp for blind and visually handicapped people"|"N"|"N"|""|""|""|"115000.0000"|""
"01-0508136"|"FRIENDS OF THE KENNEBEC RIVER RAIL TRAIL INC"|"900264"|"Rai sing funds and recruit volunteers to maintain the Kennebec River railtrail"|"N"|"N"|""|""|""|"29784.0000"|""
